Ref,Val,Package,PosX,PosY,Rot,Side
"U1","2462","2462",243.000000,-125.260000,0.000000,bottom
"ANT1","ANT-433-HESM","ANT433HESM",272.540000,-137.600000,-90.000000,top
"C1","100nF","C_0603_1608Metric",233.900000,-152.550000,90.000000,top
"C2","100nF","C_0603_1608Metric",218.900000,-146.875000,-90.000000,top
"C3","10nF","C_0402_1005Metric",218.420000,-143.995000,180.000000,top
"C4","1uF","C_0603_1608Metric",217.050000,-149.225000,90.000000,top
"C5","100nF","C_0603_1608Metric",218.900000,-150.050000,90.000000,top
"C6","47uF, 6.3V","C_1206_3216Metric",214.500000,-147.925000,90.000000,top
"C7","1uF","C_0402_1005Metric",214.780000,-116.050000,0.000000,top
"C8","100nF","C_0402_1005Metric",214.770000,-117.210000,0.000000,top
"C9","47uF, 6.3V","C_1206_3216Metric",219.375000,-116.700000,0.000000,top
"C10","100nF","C_0402_1005Metric",222.300000,-122.920000,-90.000000,top
"C11","100nF","C_0402_1005Metric",223.350000,-122.920000,-90.000000,top
"C12","100nF","C_0402_1005Metric",226.615000,-116.900000,90.000000,top
"C13","1uF","C_0402_1005Metric",225.515000,-116.920000,90.000000,top
"C14","100nF","C_0402_1005Metric",230.345000,-117.020000,90.000000,top
"C15","100nF","C_0402_1005Metric",230.620000,-123.600000,0.000000,top
"C16","100nF","C_0402_1005Metric",231.220000,-118.400000,0.000000,top
"C17","100nF","C_0402_1005Metric",227.415000,-124.720000,-90.000000,top
"C18","12pF","C_0402_1005Metric",225.535000,-125.900000,0.000000,top
"C19","12pF","C_0402_1005Metric",229.385000,-125.900000,180.000000,top
"C20","3.9pF","C_0402_1005Metric",230.550000,-119.970000,90.000000,top
"C21","220pF","C_0402_1005Metric",232.000000,-122.500000,180.000000,top
"C22","3.9pF","C_0402_1005Metric",232.000000,-121.450000,180.000000,top
"C23","8.2pF","C_0402_1005Metric",234.550000,-119.450000,-90.000000,top
"C24","5.6pF","C_0402_1005Metric",236.550000,-121.400000,90.000000,top
"C25","220pF","C_0402_1005Metric",238.020000,-120.900000,0.000000,top
"C26","22uF, 6.3V","C_1206_3216Metric",189.955000,-119.080000,180.000000,top
"C27","4.7pF","C_0402_1005Metric",199.300000,-117.430000,180.000000,top
"C28","4.7uF, 25V","C_0805_2012Metric",203.580000,-118.730000,-90.000000,top
"C29","4.7uF, 25V","C_0805_2012Metric",216.150000,-129.300000,180.000000,top
"C30","100nF","C_0402_1005Metric",216.620000,-131.100000,180.000000,top
"D1","MBR0520LT3G","SOD3716X135N",199.730000,-120.880000,180.000000,top
"FB1","BLM18KG601SN1D","BLM18SP221SN1B",220.225000,-118.800000,0.000000,top
"FID1","Fiducial","Fiducial_1mm_Mask2mm",187.000000,-122.500000,0.000000,top
"FID2","Fiducial","Fiducial_1mm_Mask2mm",187.000000,-156.000000,0.000000,top
"FID3","Fiducial","Fiducial_1mm_Mask2mm",248.000000,-156.000000,0.000000,top
"IC1","STM8L151K4T6","QFP80P900X900X160-32N",225.462000,-146.800000,0.000000,top
"IC2","CC1101RGPR","QFN50P400X400X100-21N-D",226.900000,-120.700000,0.000000,top
"IC3","LT1615ES5-1#TRMPBF","SOT95P280X100-5N",194.550000,-118.300000,180.000000,top
"IC4","MIC4427YM","SOIC127P599X173-8N",215.638000,-134.605000,180.000000,top
"IC5","MB85RC64TAPNF-G-BDERE1","SOIC127P602X173-8N",209.625000,-119.115000,0.000000,top
"J1","G8250041000YEU","HDRV4W55P0X200_1X4_800X200X635P",210.950000,-156.450000,180.000000,top
"J2","M20-9770342","HDRV3W66P0X254_1X3_762X254X855P",198.950000,-156.450000,180.000000,top
"L1","27nH","L_0402_1005Metric",232.015000,-120.450000,0.000000,top
"L2","27nH","L_0402_1005Metric",230.550000,-121.935000,-90.000000,top
"L3","22nH","L_0402_1005Metric",234.065000,-120.950000,0.000000,top
"L4","27nH","L_0402_1005Metric",236.015000,-119.950000,0.000000,top
"L5","CD43NP-100MC","CD43NP100MC",193.155000,-123.680000,-90.000000,top
"LED1","WP710A10LVBC_D","WP710A10LVBCD",250.836500,-131.550000,180.000000,top
"LED2","TLHY4400-AS12Z","TLHY4400AS12Z",250.886500,-137.650000,180.000000,top
"LED3","TLHR4400-AS12Z","TLHR4400AS12Z",248.346500,-143.900000,0.000000,top
"LS1","PKMCS1818E20A0-R1","PKMCS1818E20A0R1",197.750000,-137.600000,90.000000,top
"Q1","IRLML6402TRPBF","SOT95P237X112-3N",229.550000,-135.400000,0.000000,top
"R1","100K","R_0603_1608Metric",225.925000,-134.450000,180.000000,top
"R2","1M","R_0603_1608Metric",238.750000,-152.500000,90.000000,top
"R3","100K","R_0603_1608Metric",236.325000,-153.300000,180.000000,top
"R4","10K","R_0603_1608Metric",239.950000,-146.275000,-90.000000,top
"R5","1M","R_0603_1608Metric",209.250000,-144.575000,-90.000000,top
"R6","510K","R_0603_1608Metric",213.475000,-143.750000,180.000000,top
"R7","1K","R_0603_1608Metric",211.050000,-144.525000,-90.000000,top
"R8","100","R_0603_1608Metric",245.050000,-131.550000,0.000000,top
"R9","47","R_0603_1608Metric",244.800000,-137.650000,0.000000,top
"R10","47","R_0603_1608Metric",244.275000,-143.800000,0.000000,top
"R11","10K","R_0603_1608Metric",215.725000,-119.550000,0.000000,top
"R12","10K","R_0603_1608Metric",215.725000,-121.150000,0.000000,top
"R13","56K","R_0402_1005Metric",227.765000,-116.900000,90.000000,top
"R15","100K","R_0603_1608Metric",190.775000,-117.050000,0.000000,top
"R16","130K","R_0402_1005Metric",197.650000,-117.890000,90.000000,top
"R17","1.15M","R_0402_1005Metric",200.880000,-117.940000,90.000000,top
"R18","33R","R_0603_1608Metric",209.675000,-139.750000,0.000000,top
"R19","33R","R_0603_1608Metric",209.675000,-134.800000,0.000000,top
"R20","1M","R_0603_1608Metric",208.950000,-137.325000,-90.000000,top
"S1","MASM-14R-8-10","MASM14R810",229.925000,-156.700000,0.000000,top
"S2","TL6120DF160QG","TL6120DF160QG",237.150000,-137.450000,-90.000000,top
"Y1","NX3225GA-26.000M-STD-CRG-2","NX3225GA26000MSTDCRG2",227.465000,-129.049999,0.000000,top
