Ref,Val,Package,PosX,PosY,Rot,Side
"CM3","2.4pF","C_0402_1005Metric",206.254200,-133.437600,0.000000,bottom
"H1","BAT-HLD-006-SMT","BATHLD006SMT",199.082000,-147.560000,180.000000,bottom
"LM1","120nH","L_0603_1608Metric",203.383900,-133.437600,0.000000,bottom
"ANT1","ANT-868-HESM","ANT-868-HESM",232.850000,-145.500000,-90.000000,top
"C1","100nF","C_0603_1608Metric",187.275000,-147.000000,0.000000,top
"C2","100nF","C_0603_1608Metric",185.500000,-154.800000,-90.000000,top
"C3","1uF","C_0603_1608Metric",186.371600,-136.828800,90.000000,top
"C4","100nF","C_0603_1608Metric",184.593600,-136.828800,90.000000,top
"C5","47uF, 6.3V","C_1206_3216Metric",182.155200,-137.677600,90.000000,top
"C6","1uF","C_0603_1608Metric",199.632200,-130.874800,180.000000,top
"C7","100pF","C_0603_1608Metric",202.832600,-130.874800,180.000000,top
"C8","47uF, 6.3V","C_1206_3216Metric",194.700000,-135.175000,-90.000000,top
"CC1","68pF","C_0402_1005Metric",212.566400,-132.929600,180.000000,top
"CM1","2.4pF","C_0402_1005Metric",206.165600,-134.425600,-90.000000,top
"CM2","1.2pF","C_0402_1005Metric",206.600000,-132.929600,180.000000,top
"CM5","5.1pF","C_0402_1005Metric",208.096000,-132.500400,90.000000,top
"CM6","5.1pF","C_0402_1005Metric",211.093200,-133.358800,-90.000000,top
"FB1","BLM18KG601SN1D","BLM18SP221SN1B",196.025000,-131.900000,180.000000,top
"IC1","STM8L001J3M3","SOIC127P600X175-8N",186.515000,-142.162000,-90.000000,top
"IC2","Si4012-C1001GTR","SOP50P490X110-10N",201.101200,-133.700400,180.000000,top
"IC3","TPS3839L30DBZR","SOT95P237X112-3N",187.250000,-149.550000,180.000000,top
"J1","M20-9770342","HDRV3W66P0X254_1X3_762X254X855P",184.520000,-131.500000,0.000000,top
"LM2","3.6nH","L_0402_1005Metric",205.098800,-134.430600,-90.000000,top
"LM3","30nH","L_0402_1005Metric",207.661800,-133.996400,0.000000,top
"LM4","3.6nH","L_0402_1005Metric",205.098800,-132.444600,-90.000000,top
"LM5","6.8nH","L_0402_1005Metric",209.592200,-132.929600,180.000000,top
"R1","1M","R_0603_1608Metric",181.450000,-153.575000,90.000000,top
"R2","100K","R_0603_1608Metric",183.648000,-154.836600,-90.000000,top
"R3","10K","R_0603_1608Metric",190.631200,-139.926800,-90.000000,top
"R4","10K","R_0603_1608Metric",192.450000,-139.925000,-90.000000,top
"R5","100K","R_0603_1608Metric",182.256800,-142.466800,-90.000000,top
"S1","MASM-14R-8-10","MASM14R810",194.225000,-159.150000,180.000000,top
