Ref,Val,Package,PosX,PosY,Rot,Side
"ANT1","ANT-868-HESM","ANT-868-HESM",56.050000,15.900000,-90.000000,top
"C1","100nF","C_0603_1608Metric",10.475000,14.400000,0.000000,top
"C2","100nF","C_0603_1608Metric",8.700000,6.600000,-90.000000,top
"C3","1uF","C_0603_1608Metric",9.571600,24.571200,90.000000,top
"C4","100nF","C_0603_1608Metric",7.793600,24.571200,90.000000,top
"C5","47uF, 6.3V","C_1206_3216Metric",5.355200,23.722400,90.000000,top
"C6","1uF","C_0603_1608Metric",22.832200,30.525200,180.000000,top
"C7","100pF","C_0603_1608Metric",26.032600,30.525200,180.000000,top
"C8","47uF, 6.3V","C_1206_3216Metric",17.900000,26.225000,-90.000000,top
"CC1","68pF","C_0402_1005Metric",35.766400,28.470400,180.000000,top
"CM1","2.4pF","C_0402_1005Metric",29.365600,26.974400,-90.000000,top
"CM2","1.2pF","C_0402_1005Metric",29.800000,28.470400,180.000000,top
"CM5","5.1pF","C_0402_1005Metric",31.296000,28.899600,90.000000,top
"CM6","5.1pF","C_0402_1005Metric",34.293200,28.041200,-90.000000,top
"FB1","BLM18KG601SN1D","BLM18SP221SN1B",19.225000,29.500000,180.000000,top
"IC1","STM8L001J3M3","SOIC127P600X175-8N",9.715000,19.238000,-90.000000,top
"IC2","Si4012-C1001GTR","SOP50P490X110-10N",24.301200,27.699600,180.000000,top
"IC3","TPS3839L30DBZR","SOT95P237X112-3N",10.450000,11.850000,180.000000,top
"J1","M20-9770342","HDRV3W66P0X254_1X3_762X254X855P",7.720000,29.900000,0.000000,top
"LM2","3.6nH","L_0402_1005Metric",28.298800,26.969400,-90.000000,top
"LM3","30nH","L_0402_1005Metric",30.861800,27.403600,0.000000,top
"LM4","3.6nH","L_0402_1005Metric",28.298800,28.955400,-90.000000,top
"LM5","6.8nH","L_0402_1005Metric",32.792200,28.470400,180.000000,top
"R1","1M","R_0603_1608Metric",4.650000,7.825000,90.000000,top
"R2","100K","R_0603_1608Metric",6.848000,6.563400,-90.000000,top
"R3","10K","R_0603_1608Metric",13.831200,21.473200,-90.000000,top
"R4","10K","R_0603_1608Metric",15.650000,21.475000,-90.000000,top
"R5","100K","R_0603_1608Metric",5.456800,18.933200,-90.000000,top
"S1","MASM-14R-8-10","MASM14R810",17.425000,2.250000,180.000000,top
