Designator,Footprint,Quantity,Value,LCSC Part #
C1,GRM31x,1,GRM31CR61A107MEA8L,
"C10, C11, C5, C51, C6, C7, C9",0402,7,100nF,
"C101, C81",0402,2,15pF,
C121,0402,1,1pF,
"C122, C131",0402,2,1.5pF,
C123,0402,1,3.3pF,
C124,0402,1,100pF,
C125,0402,1,12pF,
C2,0603,1,1nF,
C3,0603,1,100nF,
C4,0603,1,10nF,
D1,597-3008-207F,1,LED,
FB1,BLM18SP221SN1B,1,BLM18KG601SN1D,
IC1,SOP65P640X120-20N,1,STM8L051F3P6,
IC2,QFN50P400X400X100-21N-D,1,CC1101RGPR,
"L121, L123, L124, L131",0402,4,12nH,
"L122, L132",0402,2,18nH,
R1,0603,1,120,
R171,0402,1,56K,
R2,0603,1,2.2M,
S2,PTS810SJK250SMTRLFS,1,PTS810SJK250SMTR_LFS,
Y1,NX3225GA26000MSTDCRG2,1,CG01972-26M,
