Designator,Mid X,Mid Y,Rotation,Layer
C1,3.365,25.72,0.0,bottom
C10,11.82,36.715,90.0,bottom
C101,5.22,35.185,270.0,bottom
C11,6.4,33.215,0.0,bottom
C121,10.17,38.515,180.0,bottom
C122,9.27,41.165,90.0,bottom
C123,9.72,44.765,180.0,bottom
C124,7.57,40.095,270.0,bottom
C125,10.17,48.345,90.0,bottom
C131,11.2,39.615,180.0,bottom
C2,10.57,5.8,0.0,bottom
C3,7.435,5.79,0.0,bottom
C4,14.99,11.12,90.0,bottom
C5,14.22,32.415,180.0,bottom
C51,7.72,29.04,270.0,bottom
C6,13.37,36.2375,180.0,bottom
C7,8.87,29.04,270.0,bottom
C81,5.22,31.335,90.0,bottom
C9,8.1,36.2275,0.0,bottom
FB1,14.43,29.97,270.0,bottom
IC1,10.295,11.052,90.0,bottom
IC2,10.4,32.6975,90.0,bottom
L121,9.62,36.715,90.0,bottom
L122,9.17,39.615,0.0,bottom
L123,10.22,43.215,90.0,bottom
L124,10.17,46.315,90.0,bottom
L131,10.72,36.715,90.0,bottom
L132,11.17,41.23,90.0,bottom
LED1,10.8,25.62,180.0,bottom
R1,5.44,8.915,90.0,bottom
R171,14.22,33.565,180.0,bottom
R2,9.49,4.04,0.0,bottom
S2,10.59,19.79,180.0,bottom
Y1,2.05,33.2575,90.0,bottom
